clubLabel,venueLabel,coordinates,countryLabel
Hibernian F.C.,Easter Road,Point(-3.165555555 55.961666666),United Kingdom
Hibernian Saints,Starfire Sports,Point(-122.248 47.4698),United States of America
Hibernians F.C.,Hibernians Ground,Point(14.512778 35.880278),Malta
Hidroaviación,Estadio Nacional,Point(-77.033722 -12.067278),Peru
Highlands Park F.C.,Modderfontein Stadium,Point(28.167143 -26.099357),South Africa
Highmoor Ibis F.C.,Palmer Park Stadium,Point(-0.936944 51.451944),United Kingdom
Hilal SK,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Hinckley F.C.,De Montfort Park,Point(-1.3404 52.559117),United Kingdom
Hinckley United F.C.,De Montfort Park,Point(-1.3404 52.559117),United Kingdom
Hindustan Aeronautics Limited S.C.,Bangalore Football Stadium,Point(77.611585 12.968866),India
HinterReggio Calcio,Stadio Oreste Granillo,Point(15.635278 38.092778),Italy
Hispano F.C.,Estadio Carlos Miranda,Point(-87.656839 14.453778),Honduras
Histon F.C.,Bridge Road,Point(0.114258 52.242053),United Kingdom
Ho Chi Minh City F.C.,Thong Nhat Stadium,Point(106.663331 10.760703),Vietnam
Hoa Phat Hanoi F.C.,Hàng Đẫy Stadium,Point(105.833056 21.029722),Vietnam
Hoang Anh Gia Lai F.C.,Pleiku Stadium,Point(108.005 13.979166666),Vietnam
Hokkaido Consadole Sapporo,Sapporo Dome,Point(141.409767 43.015172),Japan
Hokkaido Consadole Sapporo,Sapporo Atsubetsu Park Stadium,Point(141.464016 43.019066),Japan
Holstein Kiel,Holstein-Stadion,Point(10.123611 54.349167),Germany
Home Farm F.C.,Whitehall Stadium,Point(-6.251681 53.377358),Ireland
Honda F.C.,Honda Miyakoda Soccer Stadium,Point(137.722389 34.810639),Japan
Hong Kong Pegasus FC,Hong Kong Stadium,Point(114.188444444 22.272861111),Hong Kong
Hong Kong Rangers FC,Sham Shui Po Sports Ground,Point(114.152 22.3371),Hong Kong
Houston Dynamo,BBVA Compass Stadium,Point(-95.3524 29.7522),United States of America
Houston Hotshots,Lakewood Church Central Campus,Point(-95.435 29.730277777),United States of America
Houston Hurricane,Astrodome,Point(-95.407777777 29.685),United States of America
Houston Stars,Astrodome,Point(-95.407777777 29.685),United States of America
Huachipato FC,Estadio CAP,Point(-73.107222 -36.755556),Chile
Huddersfield Town F.C.,John Smith's Stadium,Point(-1.768333333 53.654166666),United Kingdom
Huila,Estadio Goyenola,Point(-55.991944 -31.711944),Uruguay
Hull City A.F.C.,KC Stadium,Point(-0.367777777 53.746111111),United Kingdom
Hume City FC,John Ilhan Memorial Reserve,Point(144.916111 -37.665278),Australia
Hungaritos Agustinos,Estadio Max Augustín,Point(-73.252778 -3.743611),Peru
Huntly F.C.,"Christie Park, Huntly",Point(-2.78306111 57.44907222),United Kingdom
Huracán Corrientes,Estadio José Antonio Romero Feris,Point(-58.829883 -27.483778),Argentina
Huracán FC de Caguas,Parque Yldefonso Solá Morales,Point(-66.0341835 18.2262229),United States of America
Huracán de Medellín,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),Colombia
Hurriya SC,Al-Hamadaniah Stadium,Point(37.120163 36.185563),Syria
Hutnik Nowa Huta,Stadion Suche Stawy,Point(20.057222 50.066111),Poland
Hvidovre IF,Hvidovre Stadion,Point(12.482878 55.631922),Denmark
Hyde United F.C.,Ewen Fields,Point(-2.068114 53.4506),United Kingdom
Hyères FC,Stade Perruc,Point(6.141944 43.120278),France
Hämeenlinnan Härmä,Kaurialan kenttä,Point(24.441944 60.993611),Finland
Hércules CF,Estadio José Rico Pérez,Point(-0.4925 38.357222),Spain
Högadals IS,Vägga IP,Point(14.880833333 56.163888888),Sweden
Hønefoss BK,AKA Arena,Point(10.265368 60.159119),Norway
HŠK Concordia,Stadion Kranjčevićeva,Point(15.960833 45.804722),Croatia
HŠK Zrinjski Mostar,Stadion pod Bijelim Brijegom,Point(17.795278 43.345556),Bosnia and Herzegovina
IDUNSA,Estadio Monumental Virgen de Chapi,Point(-71.520203 -16.40729),Peru
IF Brommapojkarna,Grimsta IP,Point(17.851666666 59.362222222),Sweden
IF Elfsborg,Borås Arena,Point(12.934334 57.73457),Sweden
IF Sylvia,Idrottsparken,Point(16.173055555 58.584166666),Sweden
IFK Eskilstuna,Tunavallen,Point(16.495 59.370667),Sweden
IFK Göteborg,Gamla Ullevi,Point(11.980555555 57.706111111),Sweden
IFK Malmö,Malmö stadion,Point(12.989166666 55.586111111),Sweden
IFK Mariehamn,Wiklöf Holding Arena,Point(19.935278 60.102222),Finland
IFK Norrköping,Idrottsparken,Point(16.173055555 58.584166666),Sweden
IFK Trelleborg,Vångavallen,Point(13.15816667 55.38680556),Sweden
IFK Uddevalla,Rimnersvallen,Point(11.95 58.35666667),Sweden
IFK Västerås,Swedbank Park,Point(16.530555555 59.6275),Sweden
IK Brage,Domnarvsvallen,Point(15.434166666 60.495),Sweden
IK Grand Bodø,Aspmyra Stadion,Point(14.384166666 67.2775),Norway
IK Oddevold,Rimnersvallen,Point(11.95 58.35666667),Sweden
IK Sirius,Studenternas IP,Point(17.644444 59.85),Sweden
IK Sleipner,Idrottsparken,Point(16.173055555 58.584166666),Sweden
IK Start,Sør Arena,Point(8.028611 58.153611),Norway
IK Tord,Stadsparksvallen,Point(14.141944444 57.783333333),Sweden
IL Hødd,Høddvoll Stadion,Point(5.876858 62.340299),Norway
IL Ulfstind,Tromsdalen Stadion,Point(19.018053 69.645964),Norway
IR Tanger,Stade de Marchan,Point(-5.82222222 35.78944444),Morocco
IS Halmia,Örjans Vall,Point(12.866388888 56.684166666),Sweden
Iberia Los Ángeles,Estadio Municipal de Los Ángeles,Point(-72.3615 -37.4704),Chile
Igdirspor,Q1676185,Point(44.02944444 39.91027778),Turkey
Ikapa Sporting F.C.,Erica Park,Point(18.624541 -33.943716),South Africa
Ilves,Tammela Stadion,Point(23.785278 61.500278),Finland
Ilves-Kissat,Tampere Stadium,Point(23.764167 61.4925),Finland
Imbabura Sporting Club,Estadio Olímpico de Ibarra,Point(-78.659882 -1.666082),Ecuador
Imperio de Mérida CP,Estadio Romano,Point(-6.336406 38.913933),Spain
Incheon Korail FC,Incheon Munhak Stadium,Point(126.690806 37.435139),South Korea
Incheon United FC,Incheon Football Stadium,Point(126.6435 37.4656),South Korea
Independiente Medellín,Atanasio Girardot Sports Complex,Point(-75.590172 6.2568),Colombia
Independiente Rivadavia,Estadio Bautista Gargantini,Point(-68.862777 -32.890786),Argentina
Independiente Santa Fe,Estadio El Campín,Point(-74.0775 4.645888888),Colombia
Independiente del Valle,Estadio Rumiñahui,Point(-78.445 -0.329167),Ecuador
Independência Futebol Clube,Estádio José de Melo,Point(-67.8075 -9.970278),Brazil
Indiana Blaze,Kuntz Stadium,Point(-86.189185 39.790175),United States of America
Indios de Ciudad Juárez,Estadio Olímpico Benito Juárez,Point(-106.467814 31.75305),Mexico
Inglewood United,Walter Road Reserve,Point(115.879111 -31.91647),Australia
Institute F.C.,YMCA Grounds,Point(-7.278392 54.976122),United Kingdom
Instituto Atlético Central Córdoba,Estadio Presidente Perón,Point(-64.1803 -31.3837),Argentina
Instituto de Administração de Projetos Educacionais Futebol Clube,Estádio Nhozinho Santos,Point(-44.289145 -2.536286),Brazil
Inter Baku PFC,Shafa Stadium,Point(49.897711 40.410986),Azerbaijan
Inter Club d'Escaldes,Estadi Comunal d'Aixovall,Point(1.487667 42.476389),Andorra
Inter Grand-Goave,Parc Ferrus,Point(-72.771694444 18.429694444),Haiti
Internacional Futebol Clube,Arena da Baixada,Point(-49.276944 -25.448333),Brazil
International Marine Incorporated F.C.,Estadio Campeonísimo,Point(-81.2659931 -4.5776797),Peru
Inti Gas Deportes,Estadio Ciudad de Cumaná,Point(-74.2167 -13.15),Peru
Inverness Caledonian Thistle F.C.,Caledonian Stadium,Point(-4.2175 57.494722),United Kingdom
Inverness Thistle F.C.,Kingsmills Park,Point(-4.2134 57.4757),United Kingdom
Ipatinga Futebol Clube,Arena do Jacaré,Point(-44.222022 -19.478794),Brazil
Ipswich Town F.C.,Portman Road,Point(1.144830555 52.055061111),United Kingdom
Iraklis F.C.,Kaftanzoglio Stadium,Point(22.967002777 40.625497222),Greece
Iraklis Gerolakkou,Kykkos Stadium,Point(33.340042 35.159383),Cyprus
Irapuato FC,Estadio Sergio León Chávez,Point(-101.3563 20.6845),Mexico
Ironi Nir Ramat HaSharon F.C.,Grundman Stadium,Point(34.858986 32.130248),Israel
Ismaily SC,Ismailia Stadium,Point(32.27388889 30.60194444),Egypt
Itaperuna Esporte Clube,Estádio Jair Bittencourt,Point(-41.889081 -21.202964),Brazil
Itesalat,Arab Contractors Stadium,Point(31.297 30.0512),Egypt
Ittihad FC,Prince Abdullah al-Faisal Stadium,Point(39.251693 21.446608),Saudi Arabia
Itumbiara Esporte Clube,Estádio JK,Point(-49.243611 -18.408611),Brazil
JCT FC,Guru Gobind Singh Stadium,Point(75.581389 31.313056),India
JEF United Chiba,Fukuda Denshi Arena,Point(140.122912 35.577545),Japan
JEF United Chiba Ladies,Ichihara Seaside Stadium,Point(140.071639 35.527974),Japan
JEF United Ichihara Chiba Reserves,Ichihara Seaside Stadium,Point(140.071639 35.527974),Japan
JFK Olimps,Daugava Stadium,Point(24.15886111 56.95516667),Latvia
JH Djazaïr,Stade Omar Hamadi,Point(3.048111 36.801055),Algeria
JJK Jyväskylä,Harjun stadion,Point(25.740833 62.244722),Finland
JK Eesti Põlevkivi Jõhvi,Jõhvi linnastaadion,Point(27.418826 59.355844),Estonia
JK Narva Trans,Narva Kreenholmi Stadium,Point(28.18465 59.36347),Estonia
JK Sillamäe Kalev,Sillamäe Kalevi Stadium,Point(27.772594 59.394967),Estonia
JK Tallinna Kalev,Kalevi Keskstaadion,Point(24.764767 59.425828),Estonia
JS Kabylie,Stade 1er Novembre 1954,Point(4.056111 36.706944),Algeria
JS Saoura,Stade 20 Août 1955,Point(-2.21833 31.6056),Algeria
JSM Béjaïa,Stade de l'Unité Maghrébine,Point(5.046539 36.749411),Algeria
Jabatos de Nuevo León,Estadio Tigres De la UANL,Point(-100.312055555 25.722805555),Mexico
Jableh SC,Al-Baath Stadium,Point(35.926667 35.364167),Syria
Jacksonville Tea Men,Gator Bowl Stadium,Point(-81.6375 30.323888888),United States of America
Jagiellonia Białystok,Białystok City Stadium,Point(23.148889 53.105556),Poland
Jaguares de Córdoba,Estadio Jaraguay,Point(-75.827638888 8.711777777),Colombia
Jalkapalloseura Airport City,ISS Stadion,Point(24.83818333 60.2621),Finland
Japan Actuel's FC,Stade Vélodrome,Point(5.395833333 43.269722222),Madagascar
Javan Azadi Kabul F.C.,Ghazi Stadium,Point(69.193711 34.518531),Afghanistan
Je Vrille Kagoshima,Kagoshima Kamoike Stadium,Point(130.560186 31.564831),Japan
Jeju United FC,Jeju World Cup Stadium,Point(126.509206 33.246139),South Korea
Jeonbuk Hyundai Motors,Jeonju World Cup Stadium,Point(127.064444 35.868111),South Korea
Jerez Industrial CF,Q5848495,Point(-6.13889 36.6728),Spain
Jiangsu Suning F.C.,Nanjing Olympic Sports Centre,Point(118.7197 32.010642),People's Republic of China
Johor Darul Takzim F.C.,Tan Sri Dato Haji Hassan Yunos Stadium,Point(103.751372222 1.497575),Malaysia
Johor MBJB FC,Tan Sri Dato Haji Hassan Yunos Stadium,Point(103.751372222 1.497575),Malaysia
Joinville Esporte Clube,Arena Joinville,Point(-48.833611 -26.316667),Brazil
Jomo Cosmos F.C.,Johannesburg Stadium,Point(28.062513888 -26.193822222),South Africa
José Gálvez FBC,Estadio Manuel Rivera Sanchez,Point(-78.560207 -9.10001),Peru
Joutsenon Kullervo,Q11867286,Point(28.5065 61.1133),Finland
Juan Aurich,Estadio Elías Aguirre,Point(-79.860833 -6.768333),Peru
Junior F.C.,Estadio Metropolitano Roberto Meléndez,Point(-74.80072222 10.92686111),Colombia
Juventud Antoniana,Estadio Padre Ernesto Martearena,Point(-65.419189 -24.820889),Argentina
Juventud Barranco,Estadio San Carlos de Apoquindo,Point(-77.604444 -11.101111),Peru
Juventud Independiente,Complejo Municipal,Point(-89.36055556 13.87888889),El Salvador
Juventud La Palma,Estadio San Carlos de Apoquindo,Point(-77.604444 -11.101111),Peru
Juventud de Las Piedras,Estadio Parque Artigas Las Piedras,Point(-56.2025 -34.724444444),Uruguay
Juventude,Estádio Marcelo Leitão,Point(-22.938833333 16.753258333),Cape Verde
Juventus F.C.,Juventus Stadium,Point(7.641247 45.109594),Italy
Juventus Managua,Estadio Olímpico del IND Managua,Point(-86.285 12.131667),Nicaragua
Jõhvi FC Lokomotiv,Jõhvi linnastaadion,Point(27.418826 59.355844),Estonia
Jönköpings Södra IF,Stadsparksvallen,Point(14.141944444 57.783333333),Sweden
Júbilo Iwata,Yamaha Stadium,Point(137.875006 34.725217),Japan
K. Sint-Truidense VV,Stayen,Point(5.165278 50.813611),Belgium
K.A.A. Gent,Jules Ottenstadion,Point(3.766111 51.031389),Belgium
K.A.S. Eupen,Kehrweg Stadion,Point(6.045833 50.626389),Belgium
K.R.C. Genk,Cristal Arena,Point(5.533333 51.005),Belgium
K.R.C. Mechelen,Oscar Vankesbeeck Stadion,Point(4.471667 51.0375),Belgium
K.S.C. Lokeren Oost-Vlaanderen,Daknamstadion,Point(3.987222 51.116389),Belgium
K.S.K. Beveren,Freethiel Stadion,Point(4.243931 51.214139),Belgium
K.S.K. Ronse,Q2031487,Point(3.587192 50.736248),Belgium
K.S.V. Roeselare,Schiervelde Stadion,Point(3.10527778 50.95194444),Belgium
K.S.V. Waregem,Regenboogstadion,Point(3.428889 50.883056),Belgium
K.V. Kortrijk,Guldensporen Stadion,Point(3.248889 50.830278),Belgium
K.V.C. Westerlo,Het Kuipje,Point(4.928333 51.094722),Belgium
KAC Marrakech,Stade de Marrakech,Point(-7.980556 31.706667),Morocco
KDT Nacional,Q5848411,Point(-77.130708333 -12.063972222),Peru
KF Laçi,Laçi Stadium,Point(19.711672 41.64248),Albania
KF Skënderbeu Korçë,Skënderbeu Stadium,Point(20.782778 40.625833),Albania
KF Teuta Durrës,Niko Dovana Stadium,Point(19.44944444 41.32583333),Albania
KF Teuta Durrës,Niko Dovana Stadium,Point(19.449856 41.326081),Albania
KF Tirana,Selman Stërmasi Stadium,Point(19.81138333 41.31898056),Albania
KF Tirana B,Selman Stërmasi Stadium,Point(19.81138333 41.31898056),Albania
KFC Uerdingen 05,Grotenburg-Stadion,Point(6.603611 51.339167),Germany
KIF Örebro DFF,Behrn Arena,Point(15.22305556 59.26611111),Sweden
KP Legia Warsaw,Polish Army Stadium,Point(21.040628 52.220461),Poland
KS Cracovia,Marshal Józef Piłsudski Stadium,Point(19.919722 50.058056),Poland
KS Dinamo Tirana,Qemal Stafa Stadium,Point(19.824075 41.318314),Albania
KS Elbasani,Ruzhdi Bizhuta Stadium,Point(20.091992 41.115875),Albania
KS Gramozi Ersekë,Ersekë Stadium,Point(20.683333 40.333333),Albania
KS Kamza,Kamëz Stadium,Point(19.761389 41.384722),Albania
KS Vllaznia Shkodër,Loro Boriçi Stadium,Point(19.506558 42.070031),Albania
KSV Hessen Kassel,Auestadion,Point(9.484167 51.298611),Germany
KSZO Ostrowiec Świętokrzyski,"Miejski Stadion Sportowy ""KSZO""",Point(21.379444 50.924444),Poland
KV Mechelen,Argosstadion Achter de Kazerne,Point(4.486389 51.037222),Belgium
Kaizer Chiefs F.C.,FNB Stadium,Point(27.982378 -26.234806),South Africa
Kalighat Milan Sangha F.C.,Salt Lake Stadium,Point(88.409167 22.568889),India
Kallithea F.C.,"Municipal Stadium of Kallithea ""Grigoris Lambrakis""",Point(23.7151 37.9601),Greece
Kalmar FF,Guldfågeln Arena,Point(16.31523333 56.69070278),Sweden
Kanbawza F.C.,Taunggyi Stadium,Point(97.0378 20.7783),Myanmar
Kano Pillars F.C.,Sani Abacha Stadium,Point(8.529167 11.999722),Nigeria
Kansas City Spurs,Municipal Stadium,Point(-94.556944444 39.085833333),United States of America
Kapfenberger SV,Franz Fekete Stadium,Point(15.3006 47.4439),Austria
Kardemir Karabükspor,Yenişehir Stadium,Point(32.620275 41.204586),Turkey
Karlsruher SC,Wildparkstadion,Point(8.413055555 49.02),Germany
Karlstad BK,Tingvalla IP,Point(13.4935 59.386694),Sweden
Karmiotissa Pano Polemidion,GSZ Stadium,Point(33.599722 34.925556),Cyprus
Karnataka football team,Bangalore Football Stadium,Point(77.611585 12.968866),India
Kartal S.K.,Q574897,Point(29.191017 40.892014),Turkey
Karşıyaka S.K.,İzmir Alsancak Stadium,Point(27.150889 38.437289),Turkey
Kashima Antlers,Kashima Soccer Stadium,Point(140.640525 35.991744),Japan
Kashiwa Reysol,Hitachi Kashiwa Soccer Stadium,Point(139.975149 35.8485),Japan
Kastamonuspor,Kastamonu Gazi Stadium,Point(33.767113 41.365504),Turkey
Kasımpaşa Spor Kulübü,Recep Tayyip Erdoğan Stadium,Point(28.972322 41.032806),Turkey
Kataller Toyama,Toyama Athletic Stadium,Point(137.195688 36.625056),Japan
Kavala F.C.,Anthi Karagianni Stadium,Point(24.436111 40.946944),Greece
Kawasaki Frontale,Todoroki Athletics Stadium,Point(139.652731 35.585895),Japan
Kayseri Erciyesspor,Kadir Has Stadium,Point(35.423133 38.737289),Turkey
Kayserispor,Kadir Has Stadium,Point(35.423133 38.737289),Turkey
Kazincbarcikai SC,Pete András Stadion,Point(20.610278 48.243889),Hungary
Kazma Sporting Club,Al-Sadaqua Walsalam Stadium,Point(47.987691666 29.329002777),Kuwait
Kecskeméti TE,Széktói Stadion,Point(19.668889 46.901389),Hungary
Kedah FA,Darul Aman Stadium,Point(100.371763888 6.136022222),Malaysia
Kehler FV,Q2147955,Point(7.81162 48.563),Germany
Kelantan FA,Sultan Mohammad IV Stadium,Point(102.243561111 6.123838888),Malaysia
Keravnos Strovolou FC,Keravnos Strovolou Stadium,Point(33.340512 35.151154),Cyprus
Kettering Town F.C.,Nene Park,Point(-0.599992 52.328033),United Kingdom
Khaleej Sirte S.C.,Sirte Stadium,Point(16.597819 31.193525),Libya
Khasiin Khulguud,MFF Football Centre,Point(106.916111 47.9),Mongolia
Khemara Keila FC,Olympic Stadium,Point(104.912083 11.558361),Cambodia
Khonkaen F.C.,Khon Kaen Stadium,Point(102.82816 16.412717),Thailand
Khoromkhon,MFF Football Centre,Point(106.916111 47.9),Mongolia
Kickers Emden,Ostfriesland-Stadion,Point(7.203333 53.379167),Germany
Kickers Offenbach,Sparda Bank Hessen Stadium,Point(8.798611 50.094444),Germany
Kidderminster Harriers F.C.,Aggborough,Point(-2.242652777 52.380472222),United Kingdom
Kilbirnie Ladeside F.C.,Valefield Park,Point(-4.682778 55.745278),United Kingdom
Kilikia F.C.,Hrazdan Stadium,Point(44.494444 40.180278),Armenia
Kilkenny City A.F.C.,Buckley Park,Point(-7.282743 52.62299),Ireland
Kilmarnock F.C.,Rugby Park,Point(-4.508122 55.604225),United Kingdom
Kimonas Xylotympou,Xylotymvou Community Stadium,Point(33.755069 35.007436),Cyprus
King Delux F.C.,Abovyan City Stadium,Point(44.635241 40.268409),Armenia
King Faisal Babes,Baba Yara Stadium,Point(-1.605111 6.682681),Ghana
King's Park F.C.,Forthbank Park,Point(-3.929 56.114),United Kingdom
Kingstonian F.C.,Kingsmeadow,Point(-0.281944444 51.405083333),United Kingdom
Kirkintilloch Rob Roy F.C.,Adamslie Park,Point(-4.171275 55.937386),United Kingdom
Kiruna FF,Lombia IP,Point(20.247222222 67.840555555),Sweden
Kissos FC Kissonergas,Kissonerga Municipal Stadium,Point(32.405435 34.825897),Cyprus
Kissos Kissonerga,Kissonerga Municipal Stadium,Point(32.405435 34.825897),Cyprus
Kitchee SC,Tseung Kwan O Sports Ground,Point(114.263417 22.311292),Hong Kong
Kiwi Soccers,National Stadium,Point(134.47226 7.343314),United States of America
Kjelsås Fotball,Grefsen Stadion,Point(10.780485 59.959114),Norway
Klubi-04,Sonera Stadium,Point(24.9225 60.1875),Finland
Knattspyrnudeild UMFG,Grindavíkurvöllur,Point(-22.429628 63.844636),Iceland
Knattspyrnufélag Reykjavíkur,KR-völlur,Point(-21.967728 64.145683),Iceland
Knattspyrnufélagið Fram,Laugardalsvöllur,Point(-21.878972222 64.143555555),Iceland
Knattspyrnufélagið Þróttur,Valbjarnarvöllur,Point(-21.876011 64.143589),Iceland
Kocaelispor,İsmet Paşa Stadium,Point(29.85416667 40.76305556),Turkey
Kolding FC,Kolding Stadion,Point(9.45909 55.4941),Denmark
Kolding FC,Kolding Stadion,Point(9.459167 55.494167),Denmark
Kongsvinger IL Toppfotball,Gjemselund Stadion,Point(11.987222 60.195278),Norway
Konkola Blades F.C.,Konkola Stadium,Point(27.82416667 -12.36055556),Zambia
Konstantios & Euripidis Trachoniou,Trachoni Community Stadium,Point(32.971326 34.659368),Cyprus
Konyaspor,Konya Atatürk Stadium,Point(32.483278 37.865389),Turkey
Kopparbergs/Göteborg FC,Valhalla IP,Point(11.988817 57.701386),Sweden
Kornos FC 2013,Kornos Community Stadium,Point(33.404229 34.917327),Cyprus
Korona Kielce,Kielce City Stadium,Point(20.624722 50.861389),Poland
Korsvoll IL,Korsvollbanen,Point(10.757976 59.960682),Norway
Kotkan Työväen Palloilijat,Arto Tolsa Areena,Point(26.939722 60.4575),Finland
Kouris Erimis,Erimi Community Stadium,Point(32.921718 34.677839),Cyprus
Kozani F.C.,Kozani Stadium,Point(21.78275556 40.293725),Greece
Krabi F.C.,Krabi Provincial Stadium,Point(98.916629 8.108434),Thailand
Kremser SC,Q1243740,Point(15.5981 48.4064),Austria
Krung Thai Bank F.C.,Chulalongkorn University Stadium,Point(100.525833 13.7375),Thailand
Kuala Lumpur FA,KLFA Stadium,Point(101.721372222 3.100536111),Malaysia
Kuantan FA,Darulmakmur Stadium,Point(103.323888888 3.814722222),Malaysia
Kultsu FC,Q11867286,Point(28.5065 61.1133),Finland
Kuopion Palloseura,Kuopio Football Stadium,Point(27.670833 62.884444),Finland
Kuwait SC,Al Kuwait Sports Club Stadium,Point(47.951944444 29.3425),Kuwait
Kvik Halden FK,Halden Stadion,Point(11.374369 59.122671),Norway
Kyoto Sanga F.C.,Nishikyogoku Athletic Stadium,Point(135.713961 34.993478),Japan
Křídla vlasti Olomouc,Andrův stadion,Point(17.248333 49.6),Czechoslovakia
L'Aquila Calcio 1927,Stadio Tommaso Fattori,Point(13.403889 42.356389),Italy
L.A.S.K. Linz,Linzer Stadion,Point(14.276389 48.293333),Austria
LB Châteauroux,Stade Gaston Petit,Point(1.721614 46.802028),France
La Equidad,Estadio Metropolitano de Techo,Point(-74.135611 4.623545),Colombia
La Hoya Lorca CF,Estadio Francisco Artés Carrasco,Point(-1.735122 37.638817),Spain
La Loretana,Estadio Aliardo Soria Pérez,Point(-74.539167 -8.386389),Peru
La Paz F.C.,Estadio Hernando Siles,Point(-68.122778 -16.499444),Bolivia
La Roche VF,Stade Henri Desgrange,Point(-1.440833 46.671389),France
Lamontville Golden Arrows F.C.,King Zwelithini Stadium,Point(30.9 -29.971389),South Africa
Landskrona BoIS,Landskrona IP,Point(12.83761111 55.88993333),Sweden
Lara Fútbol Club,Estadio Santiago Bernabeu,Point(-69.219858 9.993544),Venezuela
Laredo Heat,Texas A&M International University Soccer Complex,Point(-99.4318 27.5698),United States of America
Larissa F.C.,AEL FC Arena,Point(22.39949 39.61561),Greece
Las Jevas de Valencia fc,Estadio Misael Delgado,Point(-68.0115 10.223403),Venezuela
Las Vegas Legends,Orleans Arena,Point(-115.202222 36.105833),United States of America
Lawn Tennis F.C.,Estadio Nacional,Point(-77.033722 -12.067278),Peru
Le Havre A.C.,Stade Océane,Point(0.174722 49.499722),France
Le Mans U.C. 72,MMArena,Point(0.223372222 47.959094444),France
Lech Poznań,Stadion Miejski,Point(16.858056 52.397222),Poland
Lechia Gdańsk,Stadion Energa Gdańsk,Point(18.640278 54.39),Poland
Leeds Carnegie F.C.,Throstle Nest,Point(-1.664214 53.809711),United Kingdom
Leeds City F.C.,Elland Road,Point(-1.572222222 53.777777777),United Kingdom
Leeds United A.F.C.,Elland Road,Point(-1.572222222 53.777777777),United Kingdom
Leeds United L.F.C.,Throstle Nest,Point(-1.664214 53.809711),United Kingdom
Leek Town F.C.,Harrison Park,Point(-2.03974 53.1097),United Kingdom
Leek Town F.C.,Harrison Park,Point(-2.039742 53.109706),United Kingdom
Lefkothea Latsion,Latsia Municipal Stadium,Point(33.391035 35.113422),Cyprus
Leicester City F.C.,King Power Stadium,Point(-1.142222222 52.620277777),United Kingdom
Leixões S.C.,Estádio do Mar,Point(-8.66694444 41.18388889),Portugal
Lekhwiya SC,Lekhwiya Sports Stadium,Point(51.469267 25.372711),Qatar
Lenas Limassol,Trachoni Community Stadium,Point(32.971326 34.659368),Cyprus
Lentapedia/Manchester United F.C.,Victoria Stadium,Point(-5.350342 36.149356),United Kingdom
Leones F.C.,Estadio Alberto Grisales,Point(-75.3727535 6.1466776),Colombia
Les Herbiers VF,Stade Massabielle,Point(-1.010638888 46.877611111),France
Levante UD,Estadi Ciutat de València,Point(-0.364167 39.494722),Spain
Lewes F.C.,The Dripping Pan,Point(0.012275 50.869019),United Kingdom
Leyton Orient F.C.,Brisbane Road,Point(-0.012639 51.560139),United Kingdom
León de Huánuco,Estadio Heraclio Tapia,Point(-76.252778 -9.940567),Peru
Libertad F.C.,"Estadio Jorge ""Mágico"" González",Point(-89.215426 13.698298),El Salvador
Libertad de Trujillo,Estadio Mansiche,Point(-79.030977 -8.106655),Peru
Lichterfelder FC,Q2326081,Point(13.324 52.4393),Germany
Lierse S.K.,Herman Vanderpoortenstadion,Point(4.573611 51.144167),Belgium
Lietava Jonava,Central stadium of Jonava,Point(24.271389 55.078056),Lithuania
Liga Deportiva Alajuelense,Estadio Alejandro Morera Soto,Point(-84.208889 10.021667),Costa Rica
Liga Deportiva Universitaria Estudiantil,Q5639664,Point(-79.8985 -2.25883),Ecuador
Liga Deportiva Universitaria de Portoviejo,Estadio Reales Tamarindos,Point(-80.45395 -1.048486),Ecuador
Liga Deportiva Universitaria de Quito,Estadio de Liga Deportiva Universitaria,Point(-78.489083 -0.107694),Ecuador
Lille O.S.C.,Stade Pierre-Mauroy,Point(3.130556 50.611944),France
Lillehammer FK,Stampesletta,Point(10.47391 61.12164),Norway
Lillestrøm SK,Åråsen Stadion,Point(11.063458 59.962752),Norway
Limerick F.C.,Thomond Park,Point(-8.6425 52.674167),Ireland
Limón Fútbol Club,Q3495669,Point(-83.033055555 9.991111111),Costa Rica
Lincoln City F.C.,Sincil Bank,Point(-0.540811 53.218289),United Kingdom
Lincoln F.C.,Victoria Stadium,Point(-5.350342 36.149356),Gibraltar
Lincoln Ladies F.C.,Sincil Bank,Point(-0.540811 53.218289),United Kingdom
Lincoln United F.C.,Ashby Avenue,Point(-0.584167 53.210556),United Kingdom
Linfield F.C.,Windsor Park,Point(-5.955 54.5825),United Kingdom
Lisburn Distillery F.C.,New Grosvenor Stadium,Point(-6.003733 54.535925),United Kingdom
Livadiakos Livadion,Ayia Pasaskevi Livadion Municipal Stadium,Point(33.633736 34.960491),Cyprus
Livadiakos/Salamina Livadion,Ayia Pasaskevi Livadion Municipal Stadium,Point(33.633736 34.960491),Cyprus
Liverpool F.C.,Anfield,Point(-2.960827777 53.430819444),United Kingdom
Liverpool F.C.,Estadio Belvedere,Point(-56.225689 -34.854922),Uruguay
Liverpool F.C. Reserves and Academy,Langtree Park,Point(-2.727614 53.447631),United Kingdom
Liverpool L.F.C.,Halton Stadium,Point(-2.738333 53.365833),United Kingdom
Livingston F.C.,Almondvale Stadium,Point(-3.522872 55.886167),United Kingdom
Ljungskile SK,Markbygg Arena,Point(11.94388889 58.21666667),Sweden
